case,category,detail
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2046-47.json,extended-career-match-count,"Elliot Vance: 176 matches, 338 wins, 160 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2046-47.json,extended-season-match-count,"Elliot Vance: {""season"":""2046/47"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":193,""qTourRank"":148,""qSchoolRank"":45,""seniorRank"":null,""youthRank"":null,""matches"":5,""wins"":12,""losses"":4,""prizeMoney"":0,""rankingPoints"":2432,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2047-48.json,extended-career-match-count,"Elliot Vance: 187 matches, 352 wins, 170 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2047-48.json,extended-season-match-count,"Elliot Vance: {""season"":""2047/48"",""worldRank"":103,""oneYearRank"":77,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":14,""losses"":10,""prizeMoney"":37950,""rankingPoints"":37700,""titles"":0,""proWins"":14,""proLosses"":10,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2048-49.json,extended-career-match-count,"Elliot Vance: 198 matches, 365 wins, 180 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2048-49.json,extended-season-match-count,"Elliot Vance: {""season"":""2048/49"",""worldRank"":87,""oneYearRank"":92,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":13,""losses"":10,""prizeMoney"":29900,""rankingPoints"":29900,""titles"":0,""proWins"":13,""proLosses"":10,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""At Risk"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2049-50.json,extended-career-match-count,"Elliot Vance: 202 matches, 375 wins, 184 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2049-50.json,extended-season-match-count,"Elliot Vance: {""season"":""2049/50"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":196,""qTourRank"":172,""qSchoolRank"":7,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":10,""losses"":4,""prizeMoney"":0,""rankingPoints"":925,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2050-51.json,extended-career-match-count,"Elliot Vance: 206 matches, 389 wins, 189 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2050-51.json,extended-season-match-count,"Elliot Vance: {""season"":""2050/51"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":18,""qTourRank"":186,""qSchoolRank"":103,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":14,""losses"":5,""prizeMoney"":0,""rankingPoints"":970,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2051-52.json,extended-career-match-count,"Elliot Vance: 212 matches, 399 wins, 196 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2051-52.json,extended-season-match-count,"Elliot Vance: {""season"":""2051/52"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":70,""qTourRank"":94,""qSchoolRank"":179,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":10,""losses"":7,""prizeMoney"":0,""rankingPoints"":4931,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2052-53.json,extended-career-match-count,"Elliot Vance: 216 matches, 402 wins, 201 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2052-53.json,extended-season-match-count,"Elliot Vance: {""season"":""2052/53"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":185,""qTourRank"":174,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":5,""prizeMoney"":0,""rankingPoints"":1182,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2053-54.json,extended-career-match-count,"Elliot Vance: 220 matches, 421 wins, 204 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2053-54.json,extended-season-match-count,"Elliot Vance: {""season"":""2053/54"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":4,""qTourRank"":55,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":19,""losses"":3,""prizeMoney"":0,""rankingPoints"":7475,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2054-55.json,extended-career-match-count,"Elliot Vance: 232 matches, 437 wins, 213 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2054-55.json,extended-season-match-count,"Elliot Vance: {""season"":""2054/55"",""worldRank"":102,""oneYearRank"":71,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":12,""wins"":16,""losses"":9,""prizeMoney"":43500,""rankingPoints"":41500,""titles"":0,""proWins"":16,""proLosses"":9,""mainTourEvents"":12,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Professional""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2055-56.json,extended-career-match-count,"Elliot Vance: 243 matches, 449 wins, 221 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2055-56.json,extended-season-match-count,"Elliot Vance: {""season"":""2055/56"",""worldRank"":89,""oneYearRank"":115,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":12,""losses"":8,""prizeMoney"":14250,""rankingPoints"":12000,""titles"":0,""proWins"":12,""proLosses"":8,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Federation Route"",""tourSurvivalStatus"":""At Risk"",""status"":""Veteran Professional""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2056-57.json,extended-career-match-count,"Elliot Vance: 249 matches, 461 wins, 228 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2056-57.json,extended-season-match-count,"Elliot Vance: {""season"":""2056/57"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":21,""qTourRank"":181,""qSchoolRank"":82,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":12,""losses"":7,""prizeMoney"":0,""rankingPoints"":947,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2057-58.json,extended-career-match-count,"Elliot Vance: 255 matches, 470 wins, 235 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2057-58.json,extended-season-match-count,"Elliot Vance: {""season"":""2057/58"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":64,""qTourRank"":151,""qSchoolRank"":88,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":9,""losses"":7,""prizeMoney"":0,""rankingPoints"":2441,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2058-59.json,extended-career-match-count,"Elliot Vance: 259 matches, 472 wins, 240 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2058-59.json,extended-season-match-count,"Elliot Vance: {""season"":""2058/59"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":194,""qTourRank"":172,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":2,""losses"":5,""prizeMoney"":0,""rankingPoints"":1181,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2059-60.json,extended-career-match-count,"Elliot Vance: 263 matches, 477 wins, 245 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2059-60.json,extended-season-match-count,"Elliot Vance: {""season"":""2059/60"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":103,""qTourRank"":186,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":5,""losses"":5,""prizeMoney"":0,""rankingPoints"":844,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2060-61.json,extended-career-match-count,"Elliot Vance: 267 matches, 482 wins, 251 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2060-61.json,extended-season-match-count,"Elliot Vance: {""season"":""2060/61"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":199,""qTourRank"":148,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":5,""losses"":6,""prizeMoney"":0,""rankingPoints"":2409,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2061-62.json,extended-career-match-count,"Elliot Vance: 271 matches, 482 wins, 257 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2061-62.json,extended-season-match-count,"Elliot Vance: {""season"":""2061/62"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":210,""qTourRank"":431,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":8,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2062-63.json,extended-career-match-count,"Elliot Vance: 277 matches, 486 wins, 264 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2062-63.json,extended-season-match-count,"Elliot Vance: {""season"":""2062/63"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":98,""qTourRank"":171,""qSchoolRank"":166,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":4,""losses"":7,""prizeMoney"":0,""rankingPoints"":1196,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2063-64.json,extended-career-match-count,"Elliot Vance: 281 matches, 491 wins, 269 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2063-64.json,extended-season-match-count,"Elliot Vance: {""season"":""2063/64"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":102,""qTourRank"":189,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":5,""losses"":5,""prizeMoney"":0,""rankingPoints"":843,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2064-65.json,extended-career-match-count,"Elliot Vance: 285 matches, 493 wins, 274 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2064-65.json,extended-season-match-count,"Elliot Vance: {""season"":""2064/65"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":201,""qTourRank"":424,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":2,""losses"":5,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2065-66.json,extended-career-match-count,"Elliot Vance: 289 matches, 494 wins, 279 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2065-66.json,extended-season-match-count,"Elliot Vance: {""season"":""2065/66"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":203,""qTourRank"":426,""qSchoolRank"":null,""seniorRank"":68,""youthRank"":null,""matches"":4,""wins"":1,""losses"":5,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2066-67.json,extended-career-match-count,"Elliot Vance: 293 matches, 494 wins, 285 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2066-67.json,extended-season-match-count,"Elliot Vance: {""season"":""2066/67"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":209,""qTourRank"":428,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":8,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2067-68.json,extended-career-match-count,"Elliot Vance: 299 matches, 495 wins, 292 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2067-68.json,extended-season-match-count,"Elliot Vance: {""season"":""2067/68"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":100,""qTourRank"":427,""qSchoolRank"":222,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":1,""losses"":7,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2068-69.json,extended-career-match-count,"Elliot Vance: 305 matches, 495 wins, 300 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2068-69.json,extended-season-match-count,"Elliot Vance: {""season"":""2068/69"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":101,""qTourRank"":424,""qSchoolRank"":225,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2069-70.json,extended-career-match-count,"Elliot Vance: 309 matches, 495 wins, 306 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2069-70.json,extended-season-match-count,"Elliot Vance: {""season"":""2069/70"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":205,""qTourRank"":428,""qSchoolRank"":null,""seniorRank"":73,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2070-71.json,extended-career-match-count,"Elliot Vance: 313 matches, 495 wins, 312 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2070-71.json,extended-season-match-count,"Elliot Vance: {""season"":""2070/71"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":206,""qTourRank"":426,""qSchoolRank"":null,""seniorRank"":71,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2071-72.json,extended-career-match-count,"Elliot Vance: 317 matches, 495 wins, 318 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2071-72.json,extended-season-match-count,"Elliot Vance: {""season"":""2071/72"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":213,""qTourRank"":421,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2072-73.json,extended-career-match-count,"Elliot Vance: 321 matches, 495 wins, 324 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2072-73.json,extended-season-match-count,"Elliot Vance: {""season"":""2072/73"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":208,""qTourRank"":429,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":7,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2073-74.json,extended-career-match-count,"Elliot Vance: 327 matches, 495 wins, 332 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2073-74.json,extended-season-match-count,"Elliot Vance: {""season"":""2073/74"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":101,""qTourRank"":420,""qSchoolRank"":214,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2074-75.json,extended-career-match-count,"Elliot Vance: 333 matches, 495 wins, 340 losses"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2074-75.json,extended-season-match-count,"Elliot Vance: {""season"":""2074/75"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":103,""qTourRank"":425,""qSchoolRank"":212,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\49-season-start-age-16-start-national-youth-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-career-match-count,"Elliot Vance: 7 matches, 10 wins, 6 losses"
